player,item_id,item_name
Betula,52029,Protector's Mark of Sanctification
Betula,50633,Sindragosa's Cruel Claw
Betula,52029,Protector's Mark of Sanctification
Betula,50653,Shadowvault Slayer's Cloak
Betula,52029,Protector's Mark of Sanctification
Betula,50655,Scourge Hunter's Vambraces
Betula,50737,"Havoc's Call, Blade of Lordaeron Kings"
Betula,50737,"Havoc's Call, Blade of Lordaeron Kings"
Betula,50619,Anub'ar Stalker's Gloves
Betula,50688,Nerub'ar Stalker's Cord
Betula,52029,Protector's Mark of Sanctification
Betula,50711,Treads of the Wasteland
Betula,50604,Band of the Bone Colossus
Betula,50402,Ashen Band of Endless Vengeance
Betula,50363,Deathbringer's Will
Betula,50343,Whispering Fanged Skull
Betula,50458,Bizuri's Totem of Shattered Ice
Betula,50734,Royal Scepter of Terenas II
Euphemià,52028,Vanquisher's Mark of Sanctification
Euphemià,50724,Blood Queen's Crimson Choker
Euphemià,52028,Vanquisher's Mark of Sanctification
Euphemià,50628,Frostbinder's Shredded Cape
Euphemià,52028,Vanquisher's Mark of Sanctification
Euphemià,50651,The Lady's Brittle Bracers
Euphemià,50732,"Bloodsurge, Kel'Thuzad's Blade of Agony"
Euphemià,50719,Shadow Silk Spindle
Euphemià,50722,San'layn Ritualist Gloves
Euphemià,50613,Crushing Coldwraith Belt
Euphemià,52028,Vanquisher's Mark of Sanctification
Euphemià,50699,Plague Scientist's Boots
Euphemià,50398,Ashen Band of Endless Destruction
Euphemià,50664,Ring of Rapid Ascent
Euphemià,50348,Dislodged Foreign Object
Euphemià,47188,Reign of the Unliving
Euphemià,50684,Corpse-Impaling Spike
Fuldrak,52029,Protector's Mark of Sanctification
Fuldrak,50633,Sindragosa's Cruel Claw
Fuldrak,52029,Protector's Mark of Sanctification
Fuldrak,47545,Vereesa's Dexterity
Fuldrak,52029,Protector's Mark of Sanctification
Fuldrak,50670,Toskk's Maximized Wristguards
Fuldrak,50730,"Glorenzelg, High-Blade of the Silver Hand"
Fuldrak,51946,Warmace of Menethil
Fuldrak,50675,Aldriana's Gloves of Secrecy
Fuldrak,50620,Coldwraith Links
Fuldrak,52029,Protector's Mark of Sanctification
Fuldrak,50639,Blood-Soaked Saronite Stompers
Fuldrak,50618,Frostbrood Sapphire Ring
